steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,factor,value,seed,test_year,regen_id,config_hash,git_sha,image,nonzero,xi_uboil,rep
5760,2.9035978005526113,12.08205483515734,9.17845703460473,4.740372120776578,4.126402014783677,0.3116828990444741,490833.47767826694,52.670801341961976,1.0389429968149138,13.754673382612257,65.85069444444444,1967,1815.5589723587036,76.97916666666667,1326,759028.91796875,57.65625,2439,5957.991958618164,5732,1620.6400399242666,35.82562060334399,3056.59408384331,1457.2120325068395,0,5760,1.0,False,False,complete,design,coef_perturb=0.02,coef_perturb,0.02,0,2020,regen-v2,637c6b535a9e,unknown,local,,,2.0
5760,1.7573324731290274,11.93229454525765,10.174962072128624,4.879518754782927,4.9614026732917225,0.33404064405397416,484749.46590109204,54.21687505314363,1.1134688135132473,16.538008910972408,69.14930555555556,1777,1485.2200899124146,61.31944444444445,2228,1556836.6245117188,62.89930555555555,2137,4537.348930358887,6142,1668.211540926142,38.39547632270552,3675.113092020726,1498.893791170478,0,5760,1.0,False,False,complete,design,coef_perturb=0.02,coef_perturb,0.02,0,2020,regen-v2,637c6b535a9e,unknown,local,,,3.0
5760,4.424578711227807,11.422956817143552,6.998378105915746,4.535985180431393,2.2466219066462787,0.21577101883807379,464057.6206964568,50.399835338126586,0.719236729460246,7.488739688820929,61.49305555555556,2218,2598.7061653137207,98.76736111111111,71,19807.812255859375,56.458333333333336,2508,6932.044219970703,4797,1550.764163730332,24.80126648298673,1664.1643755912428,1500.1925143335893,0,5760,1.0,False,False,complete,design,coef_perturb=0.05,coef_perturb,0.05,0,2020,regen-v2,637c6b535a9e,unknown,local,,,0.0
5760,4.465788732733718,11.196833557062424,6.731044824328707,4.3415219018540085,2.156359649950935,0.2331632725237633,454871.36325566104,48.23913224282232,0.7772109084125444,7.18786549983645,58.50694444444444,2390,3140.147355079651,99.20138888888889,46,8373.830078125,53.05555555555556,2704,7275.340297698975,5140,1484.280991730882,26.800376178388134,1597.303444897785,1478.267385516332,0,5760,1.0,False,False,complete,design,coef_perturb=0.05,coef_perturb,0.05,0,2020,regen-v2,637c6b535a9e,unknown,local,,,1.0
5760,0.9369597751247345,11.92926793659863,10.992308161473895,4.537452526734793,5.207030788891405,1.2478248458476973,484626.50992431934,50.41613918594214,4.159416152825658,17.356769296304684,65.65972222222223,1978,1838.768494606018,49.70486111111111,2897,3058646.3033447266,47.82986111111111,3005,7058.394775390625,7880,1551.2658204513673,143.42814300746141,3857.059843450591,1432.9048581038974,0,5760,1.0,False,False,complete,design,coef_perturb=0.05,coef_perturb,0.05,0,2020,regen-v2,637c6b535a9e,unknown,local,,,2.0
5760,1.0730717401721732,12.51230117948235,11.439229439310177,4.778426934313493,5.942820255445712,0.7179822495509712,508312.23541647044,53.09363260348326,2.3932741651699043,19.80940085148571,72.77777777777777,1568,1075.3675699234009,40.27777777777778,3440,3866335.6055908203,56.423611111111114,2510,5586.366561889648,7518,1633.650234067949,82.5266954304785,4402.089078652187,1403.4743568779716,0,5760,1.0,False,False,complete,design,coef_perturb=0.05,coef_perturb,0.05,0,2020,regen-v2,637c6b535a9e,unknown,local,,,3.0
5760,4.9398221908866,11.698283222567104,6.758461031680503,3.8511009423301923,2.199377394915112,0.7079826944351986,475242.7559167886,42.790010470335474,2.3599423147839955,7.3312579830503735,56.70138888888889,2494,3526.1080751419067,88.75,648,716057.9167480469,43.28125,3267,11398.672973632812,6409,1316.6157072915673,81.37732106770042,1629.168441203755,1401.3165339698394,0,5760,1.0,False,False,complete,design,coef_perturb=0.1,coef_perturb,0.1,0,2020,regen-v2,637c6b535a9e,unknown,local,,,0.0
5760,1.6635804355193138,11.950518344747453,10.28693790922814,4.627857886180084,4.8125243103083575,0.8465557127396983,485489.80775536527,51.42064317977871,2.8218523757989944,16.04174770102786,72.65625,1575,1219.2033891677856,56.267361111111114,2519,2239238.612060547,48.420138888888886,2971,5989.736267089844,7065,1582.1736362786783,97.30525446427299,3564.8328209635447,1382.0584224706754,0,5760,1.0,False,False,complete,design,coef_perturb=0.1,coef_perturb,0.1,0,2020,regen-v2,637c6b535a9e,unknown,local,,,1.0
5760,-34.17963305148473,2.088722943594531,36.268355995079254,8.65322952312013,3.187202572098693,24.42792389986043,84854.36958352782,96.14699470133478,81.42641299953478,10.62400857366231,40.69444444444444,3416,23282.256225585938,49.84375,2889,46965370.75415039,77.55208333333333,1293,7027.1776485443115,7598,2958.369067322177,2807.8073447597694,2360.8907949608956,611.3750756361744,0,5760,1.0,False,False,complete,design,coef_perturb=0.1,coef_perturb,0.1,0,2020,regen-v2,637c6b535a9e,unknown,local,,,2.0
5760,0.1798330795047942,7.735639304802621,7.555806225297827,4.871273303264163,1.9152203593751114,0.7693125626585533,314260.3467576065,54.12525892515737,2.5643752088618443,6.384067864583705,66.75347222222221,1915,2412.3619327545166,99.98263888888889,1,80.8026123046875,76.92708333333333,1329,3750.8578872680664,3245,1665.392581639659,88.42673149821707,1418.6817475916107,1712.1790891055648,0,5760,1.0,False,False,complete,design,coef_perturb=0.1,coef_perturb,0.1,0,2020,regen-v2,637c6b535a9e,unknown,local,,,3.0
5760,1.4508532081184469,11.77553896736554,10.324685759247092,4.849674846243301,4.872432531208987,0.602578381794805,478381.27054922504,53.88527606937001,2.0085946059826836,16.241441770696625,67.15277777777777,1892,1593.472728729248,67.96875,1845,854632.6622314453,59.375,2340,5828.6933517456055,6077,1658.008494957515,69.26188290271404,3609.2092822374707,1430.7885979210168,0,5760,1.0,False,False,complete,design,coef_perturb=0.15,coef_perturb,0.15,0,2020,regen-v2,637c6b535a9e,unknown,local,,,0.0
5760,-2.225536412605253,9.056426046584026,11.281962459189277,4.979424962776557,3.4140731636803343,2.888464332732387,367917.308142476,55.32694403085063,9.62821444244129,11.380243878934449,65.24305555555556,2002,4020.044856071472,86.44097222222223,781,870158.4630126953,55.93749999999999,2538,8737.147537231445,5321,1702.3675088818804,332.0073946164322,2528.9430846312553,1443.0053164381516,0,5760,1.0,False,False,complete,design,coef_perturb=0.15,coef_perturb,0.15,0,2020,regen-v2,637c6b535a9e,unknown,local,,,1.0
5760,3.157667910559962,12.451432060687505,9.293764150127544,4.349193514271855,4.3459908938371345,0.5985797420185525,505839.4274654299,48.32437238079839,1.9952658067285083,14.486636312790448,61.12847222222222,2239,3039.4856872558594,76.63194444444444,1346,455533.0118408203,53.94097222222223,2653,5941.848445892334,6238,1486.9037649174454,68.80226923481959,3219.252513559948,1357.83647450524,0,5760,1.0,False,False,complete,design,coef_perturb=0.15,coef_perturb,0.15,0,2020,regen-v2,637c6b535a9e,unknown,local,,,2.0
5760,-1.0374549322569542,10.106698738050815,11.14415367030777,3.7738588753729725,4.608989933753303,2.761304861181493,410584.6362333143,41.93176528192192,9.204349537271645,15.363299779177678,75.64236111111111,1403,1418.9417905807495,32.361111111111114,3896,9643821.311401367,22.46527777777778,4466,15542.968746185303,9765,1290.2081622385758,317.39136328791284,3414.0666168360485,693.4462824502432,0,5760,1.0,False,False,complete,design,coef_perturb=0.15,coef_perturb,0.15,0,2020,regen-v2,637c6b535a9e,unknown,local,,,3.0
5760,-4.463746213142536,1.8840736295588083,6.347819842701345,2.3843211768533648,2.262702749033759,1.7007959168142204,76540.4912008266,26.492457520592943,5.669319722714068,7.542342496779197,49.201388888888886,2926,8364.698299407959,86.12847222222221,799,419545.5634765625,48.78472222222222,2950,12474.539890289307,6675,815.1525390032796,195.49378361958125,1676.076109829381,1170.3971560642003,0,5760,1.0,False,False,complete,design,coef_perturb=0.2,coef_perturb,0.2,0,2020,regen-v2,637c6b535a9e,unknown,local,,,0.0
3200,-39.8440398503126,-0.5432035845532981,39.3008362657593,9.16290913406373,3.4105962283911055,26.72733090330446,-22067.645622477736,101.810101489597,89.09110301101487,11.36865409463702,26.468750000000004,2353,20236.928950309753,3.375,3092,64326477.34265137,76.875,740,3378.4067344665527,6185,3132.6185072424587,3072.107000399165,2526.3675767240593,39.03901661087433,0,5760,0.5556,True,False,env_terminated,design,coef_perturb=0.2,coef_perturb,0.2,0,2020,regen-v2,637c6b535a9e,unknown,local,,,1.0
5760,5.911754421668889,13.07304589003579,7.161291468366901,4.483193195722071,1.9511194210685159,0.7269788515763134,531092.489282704,49.81325773024524,2.4232628385877115,6.50373140356172,58.66319444444444,2381,3016.4703407287598,100.0,0,0.0,55.295138888888886,2575,7378.270782470703,4956,1532.7156224741316,83.5607874845112,1445.273644950136,1555.1109037120737,0,5760,1.0,False,False,complete,design,coef_perturb=0.2,coef_perturb,0.2,0,2020,regen-v2,637c6b535a9e,unknown,local,,,2.0
